tvk,code,taxon
NHMSYS0020308907,2,Aepophilus bonnairei
NHMSYS0020308948,1,Aphelocheirus (Aphelocheirus) aestivalis
NHMSYS0000527503,2,Aquarius najas
NHMSYS0000527504,2,Aquarius paludum
NHMSYS0000527505,3,Arctocorisa carinata
NHMSYS0000527506,3,Arctocorisa germari
NHMSYS0000527507,3,Callicorixa praeusta
NHMSYS0000527508,3,Callicorixa wollastoni
NHMSYS0020309064,2,Chartoscirta cincta
NHMSYS0020309065,2,Chartoscirta cocksii
NHMSYS0020309066,2,Chartoscirta elegantula
NHMSYS0020309071,2,Chiloxanthus pilosus
NHMSYS0000527509,3,Corixa affinis
NHMSYS0000527514,3,Corixa dentipes
NHMSYS0000527519,4,Corixa iberica
NHMSYS0000527522,3,Corixa panzeri
NHMSYS0000527524,3,Corixa punctata
NHMSYS0020309116,3,Cryptostemma (Cryptostemma) alienum
NHMSYS0020309118,3,Cryptostemma (Pachycoleus) waltli
NHMSYS0000527528,2,Cymatia bonsdorffii
NHMSYS0000527529,2,Cymatia coleoptrata
NHMSYS0020063202,2,Cymatia rogenhoferi
NHMSYS0020309252,3,Gerris (Gerris) argentatus
NHMSYS0020309253,3,Gerris (Gerris) costae
NHMSYS0020309254,3,Gerris (Gerris) gibbifer
NHMSYS0020309255,3,Gerris (Gerris) lacustris
NHMSYS0020309256,3,Gerris (Gerris) odontogaster
NHMSYS0020309257,3,Gerris (Gerris) thoracicus
NHMSYS0020309259,3,Gerris (Gerriselloides) lateralis
NHMSYS0000527539,3,Glaenocorisa propinqua subsp. cavifrons
NHMSYS0000527540,3,Glaenocorisa propinqua subsp. propinqua
NHMSYS0020309279,2,Halosalda lateralis
NHMSYS0020309292,2,Hebrus (Hebrus) pusillus
NHMSYS0020309294,2,Hebrus (Hebrusella) ruficeps
NHMSYS0000527543,3,Hesperocorixa castanea
NHMSYS0000527545,3,Hesperocorixa moesta
NHMSYS0000527546,3,Hesperocorixa sahlbergi
NHMSYS0000527547,2,Hydrometra gracilenta
NHMSYS0000527548,1,Hydrometra stagnorum
NHMSYS0000527549,1,Ilyocoris cimicoides
NHMSYS0000527550,2,Limnoporus rufoscutellatus
NHMSYS0020309408,3,Macrosaldula scotica
NHMSYS0000527551,2,Mesovelia furcata
NHMSYS0020309451,3,Micracanthia marginalis
NHMSYS0020309454,4,Micronecta (Dichaetonecta) scholtzi
NHMSYS0020309456,4,Micronecta (Micronecta) griseola
NHMSYS0020309457,4,Micronecta (Micronecta) minutissima
NHMSYS0020309458,4,Micronecta (Micronecta) poweri
NHMSYS0020309464,3,Microvelia (Microvelia) buenoi
NHMSYS0020309465,3,Microvelia (Microvelia) pygmaea
NHMSYS0020309466,3,Microvelia (Microvelia) reticulata
NHMSYS0000583218,2,Naucoris maculatus
NHMSYS0000527563,1,Nepa cinerea
NHMSYS0020309523,2,Notonecta (Notonecta) glauca
NHMSYS0020309524,2,Notonecta (Notonecta) maculata
NHMSYS0020309525,1,Notonecta (Notonecta) obliqua
NHMSYS0020309526,2,Notonecta (Notonecta) viridis
NHMSYS0000527571,3,Paracorixa concinna
NHMSYS0000527574,2,Plea minutissima
NHMSYS0020309758,1,Ranatra (Ranatra) linearis
NHMSYS0020309783,3,Salda littoralis
NHMSYS0020309784,4,Salda morio
NHMSYS0020309785,4,Salda muelleri
NHMSYS0020309791,2,Saldula arenicola
NHMSYS0020309792,3,Saldula c-album
NHMSYS0020309793,3,Saldula fucicola
NHMSYS0020309794,3,Saldula melanoscela
NHMSYS0020309795,3,Saldula opacula
NHMSYS0020309796,3,Saldula orthochila
NHMSYS0020309797,4,Saldula pallipes
NHMSYS0020309798,4,Saldula palustris
NHMSYS0020309799,3,Saldula pilosella
NHMSYS0020309800,3,Saldula saltatoria
NBNSYS0000010348,3,Saldula setulosa
NHMSYS0020309820,4,Sigara (Halicorixa) selecta
NHMSYS0020309821,4,Sigara (Halicorixa) stagnalis
NHMSYS0020309823,4,Sigara (Pseudovermicorixa) nigrolineata
NHMSYS0020309825,4,Sigara (Retrocorixa) limitata
NHMSYS0020309826,4,Sigara (Retrocorixa) semistriata
NHMSYS0020309827,4,Sigara (Retrocorixa) venusta
NHMSYS0020309829,3,Sigara (Sigara) dorsalis
NHMSYS0020309830,4,Sigara (Sigara) striata
NHMSYS0020309832,4,Sigara (Subsigara) distincta
NHMSYS0020309833,4,Sigara (Subsigara) falleni
NHMSYS0020309834,4,Sigara (Subsigara) fallenoidea
NHMSYS0020309835,4,Sigara (Subsigara) fossarum
NHMSYS0020309836,4,Sigara (Subsigara) iactans
NHMSYS0020309837,4,Sigara (Subsigara) longipalis
NHMSYS0020309838,4,Sigara (Subsigara) scotti
NHMSYS0020309840,3,Sigara (Vermicorixa) lateralis
NHMSYS0020309879,3,Teloleuca pellucens
NHMSYS0020309936,2,Velia (Plesiovelia) caprai
NHMSYS0020309937,2,Velia (Plesiovelia) saulii
