taxon,tvk,start_day,start_month,end_day,end_month,stage
Acrocephalus palustris,NHMSYS0000530128,20,5,20,10,mature
Acrocephalus schoenobaenus,NHMSYS0000530129,5,4,15,10,mature
Acrocephalus scirpaceus,NHMSYS0000530130,10,4,15,11,mature
Actitis hypoleucos,NBNSYS0000000033,10,3,31,10,mature
Alle alle,NBNSYS0000000377,1,5,30,9,mature
Anas acuta,NBNSYS0000000189,1,5,31,8,mature
Anas querquedula,NBNSYS0000000136,1,3,15,10,mature
Anser albifrons,NHMSYS0000530149,26,4,30,9,mature
Anser albifrons albifrons,NHMSYS0000532791,26,4,30,9,mature
Anser albifrons flavirostris,NHMSYS0000532795,26,4,30,9,mature
Anser brachyrhynchus,NHMSYS0000530150,2,6,14,9,mature
Anser fabalis fabalis,NHMSYS0020302938,21,4,30,9,mature
Anser fabalis rossicus,NHMSYS0020302939,21,4,30,9,mature
Anser fabalis sensu lato,NBNSYS0000000213,21,4,30,9,mature
Anthus spinoletta,NHMSYS0000530161,26,4,17,10,mature
Anthus trivialis,NHMSYS0000530162,1,4,1,11,mature
Apus apus,NHMSYS0000530165,10,4,1,11,mature
Aythya marila,NBNSYS0000000193,21,5,31,8,mature
Bombycilla garrulus,NHMSYS0000530207,21,5,30,9,mature
Branta bernicla,NBNSYS0000000260,26,4,14,9,mature
Branta bernicla bernicla,NHMSYS0000534055,26,4,14,9,mature
Branta bernicla hrota,NHMSYS0020302961,26,4,14,9,mature
Branta leucopsis,NBNSYS0000000214,26,4,14,9,mature
Burhinus oedicnemus,NHMSYS0000530223,1,3,10,10,mature
Buteo lagopus,NHMSYS0000530226,16,5,9,9,mature
Calcarius lapponicus,NHMSYS0000530233,2,6,9,9,mature
Calidris alba,NBNSYS0000000152,1,6,30,6,mature
Calidris canutus,NBNSYS0000000151,1,6,30,6,mature
Calidris ferruginea,NBNSYS0000188700,15,4,20,11,mature
Calidris maritima,NBNSYS0000000167,31,5,30,6,mature
Calidris melanotos,NBNSYS0000000166,1,5,25,10,mature
Calidris minuta,NBNSYS0000000163,10,4,20,11,mature
Calidris temminckii,NBNSYS0000000174,25,4,1,11,mature
Caprimulgus europaeus,NHMSYS0000530242,25,4,10,10,mature
Carpodacus erythrinus,NHMSYS0000530254,20,5,15,10,mature
Charadrius dubius,NBNSYS0000000162,1,3,20,9,mature
Charadrius morinellus,NBNSYS0000000176,10,4,10,11,mature
Chlidonias niger,NBNSYS0000000372,10,4,20,10,mature
Circus pygargus,NHMSYS0000530296,15,4,5,9,mature
Clangula hyemalis,NBNSYS0000000194,21,5,9,9,mature
Coturnix coturnix,NHMSYS0000530319,20,4,5,9,mature
Crex crex,NHMSYS0000530322,15,4,1,11,mature
Cuculus canorus,NHMSYS0000530324,10,4,20,10,mature
Cygnus columbianus,NBNSYS0000000200,2,4,30,9,mature
Cygnus cygnus,NBNSYS0000000199,2,4,30,9,mature
Delichon urbicum,NHMSYS0000530329,10,3,1,12,mature
Eremophila alpestris,NHMSYS0000530737,21,5,30,9,mature
Falco subbuteo,NHMSYS0000530357,7,4,25,10,mature
Ficedula hypoleuca,NHMSYS0000530362,10,4,15,10,mature
Gavia immer,NBNSYS0000000220,31,5,15,10,mature
Hippolais icterina,NHMSYS0000530396,25,4,20,10,mature
Hippolais polyglotta,NHMSYS0000530399,30,5,20,10,mature
Hirundo rustica,NHMSYS0000530406,10,3,1,12,mature
Hydrobates pelagicus,NBNSYS0000000236,15,3,30,10,mature
Jynx torquilla,NHMSYS0000530418,10,4,25,10,mature
Lanius collurio,NHMSYS0000530423,25,4,5,11,mature
Lanius excubitor,NHMSYS0000530425,2,5,31,8,mature
Larus glaucoides,NBNSYS0000000355,31,5,29,9,mature
Larus hyperboreus,NBNSYS0000000356,1,5,24,8,mature
Larus sabini,NHMSYS0000530432,10,5,30,10,mature
Limosa lapponica,NBNSYS0000000146,1,6,30,6,mature
Locustella naevia,NHMSYS0000530444,5,4,10,10,mature
Luscinia megarhynchos,NHMSYS0000530464,5,4,1,9,mature
Luscinia svecica,NHMSYS0000530465,20,3,1,11,mature
Lymnocryptes minimus,NBNSYS0000000143,1,5,31,8,mature
Melanitta fusca,NBNSYS0000000195,6,5,9,9,mature
Mergellus albellus,NHMSYS0000530474,2,6,9,10,mature
Motacilla flava,NHMSYS0000530496,20,3,15,11,mature
Motacilla flava flava,NBNSYS0000001342,1,4,30,9,mature
Muscicapa striata,NHMSYS0000530498,15,4,15,10,mature
Numenius phaeopus,NBNSYS0000000144,10,4,20,11,mature
Oenanthe oenanthe,NHMSYS0000530514,1,3,15,11,mature
Oriolus oriolus,NHMSYS0000530518,15,4,20,9,mature
Pandion haliaetus,NBNSYS0000000292,15,3,15,10,mature
Pernis apivorus,NHMSYS0000530550,25,4,10,9,mature
Phalaropus fulicarius,NBNSYS0000000165,1,6,30,6,mature
Phalaropus lobatus,NBNSYS0000000172,10,5,30,8,mature
Phoenicurus phoenicurus,NHMSYS0000530745,5,4,15,11,mature
Phylloscopus sibilatrix,NHMSYS0000530757,15,4,1,10,mature
Phylloscopus trochilus,NHMSYS0000530759,20,3,1,11,mature
Plectrophenax nivalis,NHMSYS0000530776,2,6,31,8,mature
Pluvialis squatarola,NBNSYS0000000141,1,7,31,5,mature
Podiceps grisegena,NBNSYS0000000223,31,5,14,9,mature
Porzana porzana,NHMSYS0000530787,20,3,1,11,mature
Riparia riparia,NHMSYS0000530586,1,3,25,10,mature
Saxicola rubetra,NHMSYS0000530590,5,4,15,11,mature
Serinus serinus,NHMSYS0000530599,10,3,1,12,mature
Stercorarius longicaudus,NBNSYS0000000342,1,5,1,12,mature
Stercorarius parasiticus,NBNSYS0000000341,15,3,31,10,mature
Stercorarius pomarinus,NBNSYS0000000340,15,3,31,10,mature
Stercorarius skua,NBNSYS0000000343,15,3,31,10,mature
Sterna dougallii,NBNSYS0000000364,25,4,20,9,mature
Sterna hirundo,NBNSYS0000000138,1,4,15,11,mature
Sterna paradisaea,NBNSYS0000000365,1,4,5,11,mature
Sterna sandvicensis,NBNSYS0000000363,10,3,15,10,mature
Sternula albifrons,NHMSYS0001688285,10,4,10,10,mature
Streptopelia turtur,NHMSYS0000530623,10,4,10,11,mature
Sylvia borin,NHMSYS0000530634,12,4,1,11,mature
Sylvia communis,NHMSYS0000530636,5,4,1,11,mature
Sylvia curruca,NHMSYS0000530638,10,4,5,11,mature
Tringa erythropus,NBNSYS0000000149,1,6,30,6,mature
Tringa glareola,NBNSYS0000000148,10,4,25,9,mature
Tringa ochropus,NBNSYS0000000147,1,6,30,6,mature
Turdus iliacus,NHMSYS0000530673,2,5,31,8,mature
Turdus pilaris,NHMSYS0000530679,21,5,24,8,mature
Turdus torquatus,NHMSYS0000530681,7,3,20,11,mature
Upupa epops,NHMSYS0000530687,15,3,10,11,mature
