code,taxon,tvk
2,Lipara lucens,NBNSYS0000029841
4,Lipara rufitarsis,NBNSYS0000029842
2,Lipara similis,NBNSYS0000029843
4,Calamoncosis aprica,NBNSYS0000029844
4,Calamoncosis aspistylina,NBNSYS0000029845
4,Calamoncosis duinensis,NBNSYS0000029846
4,Calamoncosis glyceriae,NBNSYS0000029847
4,Calamoncosis minima,NBNSYS0000029848
3,Siphonella oscinina,NBNSYS0000029849
3,Polyodaspis ruficornis,NBNSYS0000029850
3,Polyodaspis sulcicollis,NBNSYS0000029851
5,Trachysiphonella scutellata,NBNSYS0000029857
5,Trachysiphonella pygmaea,NBNSYS0000029858
5,Trachysiphonella ruficeps,NBNSYS0000029859
3,Siphunculina aenea,NBNSYS0000029860
4,Conioscinella frontella,NBNSYS0000029877
3,Conioscinella gallarum,NBNSYS0000029878
3,Speccafrons halophila,NBNSYS0000029879
4,Conioscinella mimula,NBNSYS0000029880
3,Conioscinella sordidella,NBNSYS0000029881
3,Conioscinella zetterstedti,NBNSYS0000029882
3,Tricimba cincta,NBNSYS0000029883
3,Tricimba lineella,NBNSYS0000029885
3,Dicraeus fennicus,NBNSYS0000029886
3,Dicraeus ingratus,NBNSYS0000029887
3,Dicraeus napaeus,NBNSYS0000029888
3,Dicraeus raptus,NBNSYS0000029889
3,Dicraeus scibilis,NBNSYS0000029890
3,Dicraeus styriacus,NBNSYS0000029891
3,Dicraeus tibialis,NBNSYS0000029892
3,Dicraeus vagans,NBNSYS0000029893
4,Gaurax niger,NBNSYS0000029896
3,Eribolus gracilior,NBNSYS0000029899
3,Eribolus hungaricus,NBNSYS0000029900
3,Eribolus slesvicensis,NBNSYS0000029902
3,Incertella albipalpis,NBNSYS0000029903
4,Incertella scotica,NBNSYS0000029907
4,Oscinella angularis,NBNSYS0000029909
5,Oscinella angustipennis,NBNSYS0000029910
4,Oscinella cariciphila,NBNSYS0000029911
4,Oscinella frit,NBNSYS0000029912
3,Oscinella maura,NBNSYS0000029914
4,Oscinella nigerrima,NBNSYS0000029915
3,Oscinella nitidissima,NBNSYS0000029916
4,Oscinella pusilla,NBNSYS0000029918
3,Oscinella trochanterata,NBNSYS0000029919
4,Oscinella vastator,NBNSYS0000029920
3,Rhopalopterum atricilla,NBNSYS0000029922
4,Rhopalopterum fasciola,NBNSYS0000029926
2,Elachiptera brevipennis,NBNSYS0000029929
3,Elachiptera diastema,NBNSYS0000029932
3,Elachiptera megaspis,NBNSYS0000029933
3,Elachiptera rufifrons,NBNSYS0000029935
3,Elachiptera scrobiculata,NBNSYS0000029936
3,Elachiptera tuberculifera,NBNSYS0000029937
1,Camarota curvipennis,NBNSYS0000029941
2,Platycephala planifrons,NBNSYS0000029942
2,Platycephala umbraculata,NBNSYS0000029943
4,Meromyza bohemica,NBNSYS0000029944
4,Meromyza curvinervis,NBNSYS0000029946
4,Meromyza hispanica,NBNSYS0000029949
4,Meromyza mosquensis,NBNSYS0000029951
4,Meromyza palposa,NBNSYS0000029954
4,Meromyza pluriseta,NBNSYS0000029955
4,Meromyza rufa,NBNSYS0000029957
4,Meromyza triangulina,NBNSYS0000029960
2,Eurina lurida,NBNSYS0000029962
5,Cryptonevra consimilis,NBNSYS0000029963
5,Cryptonevra flavitarsis,NBNSYS0000029964
3,Cryptonevra nigritarsis,NBNSYS0000029965
4,Pseudopachychaeta approximatonervis,NBNSYS0000029968
3,Pseudopachychaeta ruficeps,NBNSYS0000029971
3,Diplotoxa messoria,NBNSYS0000029972
3,Melanum laterale,NBNSYS0000029973
3,Eutropha fulvifrons,NBNSYS0000029974
3,Cetema cereris,NBNSYS0000029975
3,Epichlorops puncticollis,NBNSYS0000029982
3,Chlorops gracilis,NBNSYS0000029990
3,Chlorops hypostigma,NBNSYS0000029991
4,Chlorops meigenii,NBNSYS0000029994
3,Chlorops planifrons,NBNSYS0000029997
3,Chlorops ringens,NBNSYS0000029998
3,Chlorops pumilionis,NBNSYS0000029999
3,Chlorops scalaris,NBNSYS0000030001
3,Chlorops troglodytes,NBNSYS0000030005
3,Chlorops varsoviensis,NBNSYS0000030006
3,Thaumatomyia hallandica,NBNSYS0000030009
3,Thaumatomyia notata,NBNSYS0000030010
3,Thaumatomyia rufa,NBNSYS0000030011
3,Thaumatomyia trifasciata,NBNSYS0000030012
3,Cryptonevra diadema,NBNSYS0000145332
3,Aphanotrigonum brunneum,NBNSYS0100001605
3,Aphanotrigonum femorellum,NBNSYS0100001607
3,Aphanotrigonum inerme,NBNSYS0100001608
2,Aphanotrigonum trilineatum,NBNSYS0100001609
4,Cetema elongatum,NBNSYS0100002274
3,Cetema myopinum,NBNSYS0100002275
3,Cetema neglectum,NBNSYS0100002276
4,Cetema simile,NBNSYS0100002278
5,Cetema transversum,NBNSYS0100002279
4,Chlorops adjunctus,NBNSYS0100002358
4,Chlorops calceatus,NBNSYS0100002359
5,Chlorops dasycerus,NBNSYS0100002361
4,Chlorops fasciatus,NBNSYS0100002362
3,Chlorops frontosus,NBNSYS0100002363
3,Chlorops interruptus,NBNSYS0100002364
3,Chlorops laetus,NBNSYS0100002365
3,Chlorops limbatus,NBNSYS0100002366
4,Chlorops obscurellus,NBNSYS0100002368
4,Chlorops rossicus,NBNSYS0100002369
3,Chlorops rufinus,NBNSYS0100002371
3,Chlorops scutellaris,NBNSYS0100002372
3,Chlorops serenus,NBNSYS0100002373
4,Chlorops speciosus,NBNSYS0100002374
3,Chlorops strigulus,NBNSYS0100002375
4,Chloropsina pulicaria,NBNSYS0100002376
4,Chloropsina varleyi,NBNSYS0100002377
4,Elachiptera austriaca,NBNSYS0100002925
3,Eribolus nanus,NBNSYS0100003061
5,Gampsocera numerata,NBNSYS0100003238
4,Gaurax dubius,NBNSYS0100003242
4,Gaurax fascipes,NBNSYS0100003243
4,Hapleginella laevifrons,NBNSYS0100003327
4,Incertella antennata,NBNSYS0100003591
3,Incertella kerteszi,NBNSYS0100003592
3,Incertella zuercheri,NBNSYS0100003593
4,Lasiambia baliola,NBNSYS0100003663
3,Lasiambia coxalis,NBNSYS0100003665
5,Lasiambia parcepilosa,NBNSYS0100003667
4,Lasiosina herpini,NBNSYS0100003675
3,Lasiosina intermedia,NBNSYS0100003676
4,Meromyza nigriseta,NBNSYS0100004005
3,Meromyza ornata,NBNSYS0100004006
4,Meromyza zachvatkini,NBNSYS0100004007
3,Microcercis trigonella,NBNSYS0100004049
4,Neohaplegis glabra,NBNSYS0100004200
4,Neohaplegis tarsata,NBNSYS0100004201
3,Oscinimorpha albisetosa,NBNSYS0100004355
3,Oscinimorpha arcuata,NBNSYS0100004356
3,Oscinimorpha minutissima,NBNSYS0100004357
3,Oscinimorpha sordidissima,NBNSYS0100004358
3,Oscinisoma cognatum,NBNSYS0100004359
3,Oscinisoma germanicum,NBNSYS0100004360
3,Oscinisoma gilvipes,NBNSYS0100004361
3,Rhopalopterum anthracinum,NBNSYS0100005136
3,Rhopalopterum atricorne,NBNSYS0100005137
5,Rhopalopterum brunneipenne,NBNSYS0100005138
5,Rhopalopterum crucicarinatum,NBNSYS0100005139
4,Rhopalopterum femorale,NBNSYS0100005140
3,Thaumatomyia glabra,NBNSYS0100005790
5,Trachysiphonella indet.,NBNSYS0100005866
3,Tricimba brachyptera,NBNSYS0100005891
3,Tricimba humeralis,NBNSYS0100005892
3,Aphanotrigonum brachypterum,NBNSYS0100024189
5,Lasiosina chandleri,NBNSYS0100027422
4,Incertella nigrifrons,NHMSYS0020706108
3,Oscinimorpha sp. nov.,NHMSYS0020936461
3,Parectecephala longicornis,NHMSYS0020974203
4,Gaurax maculipennis,NHMSYS0021007747
4,Meromyza rohdendorfi,NHMSYS0021007753
4,Meromyza sibirica,NHMSYS0021007759
4,Oscinella ventricosi,NHMSYS0021007765
5,Homalura tarsata,NHMSYS0021007777
3,Aphanotrigonum cinctellum,NHMSYS0021007801
3,Colliniella meijerei,NHMSYS0021007807
4,Diplotoxoides dalmatina,NHMSYS0021007854
3,Gaurax flavomaculatus,NHMSYS0021007863
4,Lipara pullitarsis,NHMSYS0021007882
3,Lasiochaeta pubescens,NHMSYS0021007894
3,Oscinella capreolus,NHMSYS0021007905
4,Oscinella vindicata,NHMSYS0021007923
4,Pseudopachychaeta oscinina,NHMSYS0021007932
4,Meromyza athletica,NHMSYS0021007942
4,Elachiptera sp. nr cornuta,NHMSYS0021008020
3,Cetema elongatum agg. sensu pre 1985,NHMSYS0021008026
3,Lasiosina herpini agg. sensu pre 1991,NHMSYS0021008032
2,Lipara rufitarsis agg. sensu pre 2015,NHMSYS0021008039
3,Neohaplegis tarsata agg. sensu pre 1994,NHMSYS0021008045
3,Oscinisoma cognatum agg. sensu pre 1976,NHMSYS0021008051
4,Rhopalopterum fasciola agg. sensu pre 1987,NHMSYS0021008057
4,Rhopalopterum femorale agg. pre 1987,NHMSYS0021008063
6,Meromyza sp. nr. depressa,NHMSYS0021122907
3,Aphanotrigonum nigripes agg.,NHMSYS0021122950
4,Elachiptera cornuta agg.,NHMSYS0021122967
3,Lasiambia palposa agg.,NHMSYS0021122984
3,Meromyza femorata agg.,NHMSYS0021123186
3,Meromyza nigriventris agg.,NHMSYS0021123192
3,Meromyza pratorum agg.,NHMSYS0021123198
3,Meromyza saltatrix agg.,NHMSYS0021123204
4,Lasiambia brevibucca,NHMSYS0021125362
4,Meromyza virescens,NHMSYS0021266396
