code,taxon,tvk
1,Subcoccinella vigintiquattuorpunctata,NBNSYS0000008289
2,Coccidula rufa,NBNSYS0000008290
2,Coccidula scutellata,NBNSYS0000008291
3,Clitostethus arcuatus,NBNSYS0000008293
3,Scymnus femoralis,NBNSYS0000008295
2,Scymnus frontalis,NBNSYS0000008296
3,Scymnus nigrinus,NBNSYS0000008297
3,Scymnus schmidti,NBNSYS0000008298
3,Scymnus auritus,NBNSYS0000008299
3,Scymnus haemorrhoidalis,NBNSYS0000008300
3,Scymnus limbatus,NBNSYS0000008302
2,Scymnus suturalis,NBNSYS0000008303
4,Nephus bisignatus,NBNSYS0000008304
3,Nephus quadrimaculatus,NBNSYS0000008305
2,Hyperaspis pseudopustulata,NBNSYS0000008307
2,Platynaspis luteorubra,NBNSYS0000008308
1,Chilocorus bipustulatus,NBNSYS0000008309
1,Chilocorus renipustulatus,NBNSYS0000008310
3,Exochomus nigromaculatus,NBNSYS0000008311
1,Exochomus quadripustulatus,NBNSYS0000008312
3,Hippodamia tredecimpunctata,NBNSYS0000008313
1,Hippodamia variegata,NBNSYS0000008315
1,Anisosticta novemdecimpunctata,NBNSYS0000008316
1,Aphidecta obliterata,NBNSYS0000008317
1,Tytthaspis sedecimpunctata,NBNSYS0000008318
1,Adalia bipunctata,NBNSYS0000008319
1,Adalia decempunctata,NBNSYS0000008320
3,Coccinella magnifica,NBNSYS0000008321
1,Coccinella hieroglyphica,NBNSYS0000008322
3,Coccinella quinquepunctata,NBNSYS0000008323
1,Coccinella septempunctata,NBNSYS0000008324
1,Coccinella undecimpunctata,NBNSYS0000008325
1,Harmonia quadripunctata,NBNSYS0000008326
1,Anatis ocellata,NBNSYS0000008327
1,Myrrha octodecimguttata,NBNSYS0000008328
1,Calvia quattuordecimguttata,NBNSYS0000008329
1,Propylea quattuordecimpunctata,NBNSYS0000008330
1,Myzia oblongoguttata,NBNSYS0000008331
1,Halyzia sedecimguttata,NBNSYS0000008332
3,Vibidia duodecimguttata,NBNSYS0000008333
1,Psyllobora vigintiduopunctata,NBNSYS0000008334
1,Harmonia axyridis,NHMSYS0000712592
3,Cryptolaemus montrouzieri,NHMSYS0020151871
1,Henosepilachna argus,NHMSYS0020152260
4,Rhyzobius chrysomeloides,NHMSYS0020153335
2,Rhyzobius litura,NHMSYS0020153336
4,Rhyzobius lophanthae,NHMSYS0020153337
3,Rodolia cardinalis,NHMSYS0020153342
3,Scymnus interruptus,NHMSYS0020920019
3,Scymnus rubromaculatus,NHMSYS0021233083
3,Nephus limonii/redtenbacheri agg.,NHMSYS0021366799
3,Stethorus pusillus,NHMSYS0021366929
